iter	MAE
0	3.474811032
1	3.460205774
2	3.437877771
3	3.419199813
4	3.397479739
5	3.382430017
6	3.353533548
7	3.337135891
8	3.317998728
9	3.303695549
10	3.276314483
11	3.25039477
12	3.227762138
13	3.208160912
14	3.178930834
15	3.158791848
16	3.144788766
17	3.124912926
18	3.110171206
19	3.101000779
20	3.086665096
21	3.070023366
22	3.054871329
23	3.024883262
24	3.008675294
25	2.998504169
26	2.977539716
27	2.959187436
28	2.948118788
29	2.938703715
30	2.932068061
31	2.913451152
32	2.894415634
33	2.882499838
34	2.871157347
35	2.856201051
36	2.848662886
37	2.82898668
38	2.814814471
39	2.805650846
40	2.79377822
41	2.784751968
42	2.773340753
43	2.765531147
44	2.751958894
45	2.742664044
46	2.732845977
47	2.730355799
48	2.718931346
49	2.709972707
50	2.697182345
51	2.676436934
52	2.669848009
53	2.662331748
54	2.654450476
55	2.639127205
56	2.630352013
57	2.62254682
58	2.606186814
59	2.594970451
60	2.583470858
61	2.574958764
62	2.563503567
63	2.561408021
64	2.55071104
65	2.53901123
66	2.531811463
67	2.520635823
68	2.510028647
69	2.499497775
70	2.482302839
71	2.467663717
72	2.458343226
73	2.450235243
74	2.440939366
75	2.431047936
76	2.405883561
77	2.398505543
78	2.394641033
79	2.384813055
80	2.371069098
81	2.360254824
82	2.353856194
83	2.341492548
84	2.334006511
85	2.328921976
86	2.318740103
87	2.309137275
88	2.304790931
89	2.292521063
90	2.285363644
91	2.277384585
92	2.263718938
93	2.255923672
94	2.239729111
95	2.235428
96	2.226928612
97	2.217241827
98	2.209969387
99	2.205381374
100	2.197620953
101	2.18360428
102	2.173690396
103	2.162718471
104	2.146989593
105	2.137435697
106	2.12972512
107	2.124146704
108	2.113222227
109	2.107686035
110	2.096349352
111	2.088500306
112	2.083656249
113	2.073545318
114	2.0647037
115	2.057805458
116	2.05018256
117	2.042172897
118	2.03340911
119	2.027673691
120	2.021411683
121	2.013789441
122	2.0100602
123	2.001919227
124	1.994348393
125	1.982697292
126	1.973287738
127	1.966068864
128	1.957815667
129	1.948438121
130	1.938752414
131	1.934407961
132	1.925950749
133	1.920456435
134	1.910755862
135	1.905402989
136	1.900106361
137	1.891507171
138	1.884962116
139	1.876990355
140	1.869403252
141	1.865587936
142	1.85903299
143	1.855035353
144	1.851469594
145	1.845120147
146	1.836928488
147	1.828574068
148	1.824517455
149	1.816499488
150	1.814047428
151	1.809921841
152	1.804643772
153	1.801563482
154	1.797245053
155	1.790724683
156	1.784221236
157	1.77745802
158	1.769398851
159	1.763965767
160	1.757261784
161	1.751395359
162	1.739116029
163	1.738030435
164	1.734248286
165	1.730064145
166	1.726797676
167	1.718534474
168	1.714086584
169	1.708450219
170	1.70599694
171	1.698428828
172	1.69437117
173	1.690947005
174	1.68535792
175	1.68274896
176	1.679758495
177	1.678105356
178	1.674632443
179	1.669791532
180	1.666874863
181	1.664606044
182	1.658003175
183	1.6556923
184	1.653656434
185	1.649471037
186	1.643722651
187	1.641282306
188	1.639280858
189	1.6367043
190	1.633045433
191	1.629611128
192	1.627720177
193	1.625170201
194	1.620091478
195	1.615662413
196	1.613751854
197	1.610748452
198	1.608017658
199	1.606035477
200	1.602328058
201	1.599957182
202	1.596983063
203	1.595933185
204	1.587816074
205	1.585364429
206	1.581649933
207	1.578900805
208	1.574803083
209	1.572869868
210	1.567045498
211	1.563578776
212	1.56147531
213	1.56004995
214	1.555317767
215	1.554017241
216	1.547226397
217	1.545320954
218	1.533693004
219	1.531947898
220	1.530331467
221	1.528988031
222	1.527381267
223	1.522383421
224	1.520594798
225	1.51622427
226	1.514973299
227	1.512511658
228	1.509023977
229	1.50786
230	1.505438141
231	1.501796312
232	1.499667618
233	1.492391568
234	1.491396988
235	1.48685854
236	1.485615805
237	1.483488728
238	1.481856637
239	1.478877484
240	1.476504073
241	1.473691077
242	1.470493317
243	1.467754397
244	1.465470026
245	1.461341549
246	1.459855996
247	1.458746715
248	1.457362651
249	1.453694938
250	1.451751248
251	1.449427563
252	1.445749173
253	1.443464457
254	1.439621533
255	1.437996405
256	1.435928265
257	1.435222183
258	1.432623373
259	1.430817409
260	1.427091125
261	1.425476133
262	1.422593379
263	1.420023398
264	1.419259015
265	1.415581327
266	1.412824239
267	1.411215208
268	1.410359846
269	1.409755296
270	1.407080528
271	1.405356195
272	1.403763149
273	1.402920806
274	1.399298503
275	1.398314399
276	1.395270952
277	1.392284871
278	1.390584931
279	1.387154457
280	1.386301761
281	1.385582113
282	1.384096703
283	1.382916081
284	1.379373832
285	1.378890237
286	1.378368069
287	1.375667512
288	1.373326019
289	1.372127797
290	1.371124937
291	1.370382542
292	1.368945139
293	1.362366787
294	1.360502203
295	1.359560836
296	1.35703094
297	1.352200216
298	1.350367461
299	1.347802137
300	1.345969326
301	1.344202475
302	1.339209779
303	1.337854584
304	1.336411949
305	1.334595177
306	1.33384559
307	1.326763338
308	1.322583366
309	1.321724688
310	1.320462295
311	1.319752762
312	1.316694131
313	1.315528615
314	1.315198501
315	1.314458445
316	1.312563767
317	1.309766777
318	1.309305658
319	1.309101781
320	1.308674926
321	1.308267878
322	1.306533898
323	1.30414101
324	1.302293482
325	1.299044328
326	1.297472763
327	1.296827231
328	1.295361077
329	1.29240695
330	1.291552822
331	1.2903631
332	1.289280376
333	1.286298004
334	1.28615646
335	1.283102866
336	1.281957709
337	1.281630034
338	1.281060673
339	1.28080656
340	1.28014509
341	1.277235699
342	1.275282043
343	1.272483226
344	1.272026805
345	1.26987148
346	1.26860546
347	1.267825177
348	1.264291908
349	1.263339337
350	1.262811831
351	1.261735241
352	1.260742235
353	1.257232097
354	1.254448752
355	1.253898615
356	1.253491736
357	1.252909409
358	1.25016483
359	1.248741145
360	1.247499658
361	1.246742494
362	1.243243755
363	1.242436807
364	1.241148399
365	1.23838684
366	1.237509587
367	1.234668022
368	1.234406344
369	1.23355923
370	1.233127264
371	1.232529667
372	1.231955171
373	1.230911651
374	1.230142656
375	1.228913189
376	1.227542863
377	1.226281556
378	1.224915451
379	1.2224763
380	1.218322694
381	1.21784903
382	1.217445772
383	1.216290301
384	1.215614286
385	1.214739754
386	1.213958886
387	1.212020844
388	1.211534146
389	1.210901123
390	1.209776966
391	1.209289989
392	1.207145365
393	1.206923102
394	1.206013969
395	1.204568362
396	1.204091815
397	1.203701785
