item_id,title,transcript_url,recording_year,branch,download_status,local_path
afc2001001_04520,Lucky War Dog Collection,https://tile.loc.gov/storage-services/service/vhp/0045/004520/sr0001.xml,2003,marine corps,ok,data\vhp_transcripts\afc2001001_04520.xml
afc2001001_01070,Frank Woodruff Buckles Collection,https://tile.loc.gov/storage-services/service/vhp/0010/001070/sr0001.xml,2002,army,ok,data\vhp_transcripts\afc2001001_01070.xml
afc2001001_05816,Edward J. Bayon Collection,https://tile.loc.gov/storage-services/service/vhp/0058/005816/pm0001.xml,2003,army air forces/corps,ok,data\vhp_transcripts\afc2001001_05816.xml
afc2001001_24013,James Woolsey Collection,https://tile.loc.gov/storage-services/service/vhp/0240/024013/mv0001.xml,2005,army,ok,data\vhp_transcripts\afc2001001_24013.xml
afc2001001_27678,Denny Frangos Collection,https://tile.loc.gov/storage-services/service/vhp/0276/027678/sr0001.xml,2005,navy,ok,data\vhp_transcripts\afc2001001_27678.xml
afc2001001_53558,Louis E. Spitzfaden Collection,https://tile.loc.gov/storage-services/service/vhp/0535/053558/mv0001.xml,2008,marine corps,ok,data\vhp_transcripts\afc2001001_53558.xml
afc2001001_00156,Stanley S. Lane Collection,https://tile.loc.gov/storage-services/service/vhp/0001/000156/mv0001.xml,2002,army,ok,data\vhp_transcripts\afc2001001_00156.xml
afc2001001_10429,Maynard Wesley Unger Collection,https://tile.loc.gov/storage-services/service/vhp/0104/010429/sr0001.xml,2004,army air forces/corps,ok,data\vhp_transcripts\afc2001001_10429.xml
afc2001001_04957,Lincoln N. Christensen Collection,https://tile.loc.gov/storage-services/service/vhp/0049/004957/sr0001.xml,2003,army,ok,data\vhp_transcripts\afc2001001_04957.xml
afc2001001_04975,Eleanor D. Weil Collection,https://tile.loc.gov/storage-services/service/vhp/0049/004975/sr0001.xml,2003,unknown,ok,data\vhp_transcripts\afc2001001_04975.xml
afc2001001_24072,Virginia J. Bondra Collection,https://tile.loc.gov/storage-services/service/vhp/0240/024072/sr0001.xml,2005,unknown,ok,data\vhp_transcripts\afc2001001_24072.xml
afc2001001_20996,Charles K. Malinowski Collection,https://tile.loc.gov/storage-services/service/vhp/0209/020996/sr0001.xml,2005,marine corps,ok,data\vhp_transcripts\afc2001001_20996.xml
afc2001001_20700,Raymond R. Jorz Collection,https://tile.loc.gov/storage-services/service/vhp/0207/020700/sr0001.xml,2004,marine corps,ok,data\vhp_transcripts\afc2001001_20700.xml
afc2001001_20423,Irene B. Robertson Collection,https://tile.loc.gov/storage-services/service/vhp/0204/020423/sr0001.xml,2004,unknown,ok,data\vhp_transcripts\afc2001001_20423.xml
afc2001001_01699,"George Harsch, Jr. Collection",https://tile.loc.gov/storage-services/service/vhp/0016/001699/sr0001.xml,2002,navy,ok,data\vhp_transcripts\afc2001001_01699.xml
afc2001001_25385,Milton J. Ten Have Collection,https://tile.loc.gov/storage-services/service/vhp/0253/025385/pn0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_25385.xml
afc2001001_01541,John H. Kim Collection,https://tile.loc.gov/storage-services/service/vhp/0015/001541/sr0001.xml,2002,navy,ok,data\vhp_transcripts\afc2001001_01541.xml
afc2001001_27321,Jesse Edward Oxendine Collection,https://tile.loc.gov/storage-services/service/vhp/0273/027321/pn0001.xml,2005,army,ok,data\vhp_transcripts\afc2001001_27321.xml
afc2001001_48889,Lucy Louise Himes Collection,https://tile.loc.gov/storage-services/service/vhp/0488/048889/mv0001.xml,2007,unknown,ok,data\vhp_transcripts\afc2001001_48889.xml
afc2001001_05240,Charlotte Burton Swope Collection,https://tile.loc.gov/storage-services/service/vhp/0052/005240/sr0001.xml,2003,unknown,ok,data\vhp_transcripts\afc2001001_05240.xml
afc2001001_13282,Carlisle E. Evans Collection,https://tile.loc.gov/storage-services/service/vhp/0132/013282/pn0001.xml,2004,marine corps,ok,data\vhp_transcripts\afc2001001_13282.xml
afc2001001_00845,Stephen Puttera Collection,https://tile.loc.gov/storage-services/service/vhp/0008/000845/sr0001.xml,2002,navy,ok,data\vhp_transcripts\afc2001001_00845.xml
afc2001001_25333,Elmer Schnackenberg Collection,https://tile.loc.gov/storage-services/service/vhp/0253/025333/pn0001.xml,2004,army air forces/corps,ok,data\vhp_transcripts\afc2001001_25333.xml
afc2001001_25014,William H. Bucklew Collection,https://tile.loc.gov/storage-services/service/vhp/0250/025014/pn0001.xml,2005,army,ok,data\vhp_transcripts\afc2001001_25014.xml
afc2001001_10471,Charles A. Ginza Collection,https://tile.loc.gov/storage-services/service/vhp/0104/010471/sr0001.xml,2004,army air forces/corps,ok,data\vhp_transcripts\afc2001001_10471.xml
afc2001001_48906,"James H. Gilliam, Sr. Collection",https://tile.loc.gov/storage-services/service/vhp/0489/048906/mv0001.xml,2007,army,ok,data\vhp_transcripts\afc2001001_48906.xml
afc2001001_48899,Harvey P. Parry Collection,https://tile.loc.gov/storage-services/service/vhp/0488/048899/mv0001.xml,2007,navy,ok,data\vhp_transcripts\afc2001001_48899.xml
afc2001001_12821,William Donald Sinclair Collection,https://tile.loc.gov/storage-services/service/vhp/0128/012821/mv0001.xml,2004,air force,ok,data\vhp_transcripts\afc2001001_12821.xml
afc2001001_00146,Violet Hill Gordon Collection,https://tile.loc.gov/storage-services/service/vhp/0001/000146/sr0001.xml,2002,wac (women's army corps),ok,data\vhp_transcripts\afc2001001_00146.xml
afc2001001_12854,Robert M. Alexander Collection,https://tile.loc.gov/storage-services/service/vhp/0128/012854/sr0001.xml,2004,army air forces/corps,ok,data\vhp_transcripts\afc2001001_12854.xml
afc2001001_20717,Philip Marrali Collection,https://tile.loc.gov/storage-services/service/vhp/0207/020717/sr0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_20717.xml
afc2001001_05555,Edward W. Roll Collection,https://tile.loc.gov/storage-services/service/vhp/0055/005555/sr0001.xml,2003,army,ok,data\vhp_transcripts\afc2001001_05555.xml
afc2001001_00868,Vaughn A. Johnson Collection,https://tile.loc.gov/storage-services/service/vhp/0008/000868/sr0001.xml,2002,army,ok,data\vhp_transcripts\afc2001001_00868.xml
afc2001001_00854,Edward T. Johnson Collection,https://tile.loc.gov/storage-services/service/vhp/0008/000854/sr0001.xml,2002,army,ok,data\vhp_transcripts\afc2001001_00854.xml
afc2001001_27092,Kendall Jordan Fielder Collection,https://tile.loc.gov/storage-services/service/vhp/0270/027092/mv0001.xml,2005,army,ok,data\vhp_transcripts\afc2001001_27092.xml
afc2001001_11294,Jack William Lloyd Collection,https://tile.loc.gov/storage-services/service/vhp/0112/011294/sr0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_11294.xml
afc2001001_09087,Ellsworth DeWitt Hill Collection,https://tile.loc.gov/storage-services/service/vhp/0090/009087/pm0003.xml,2004,army,ok,data\vhp_transcripts\afc2001001_09087.xml
afc2001001_04741,Essie Dell Woods Collection,https://tile.loc.gov/storage-services/service/vhp/0047/004741/sr0001.xml,2003,wac (women's army corps),ok,data\vhp_transcripts\afc2001001_04741.xml
afc2001001_20708,John Raymond McDonnell Collection,https://tile.loc.gov/storage-services/service/vhp/0207/020708/sr0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_20708.xml
afc2001001_04960,Harry F. Dombrowski Collection,https://tile.loc.gov/storage-services/service/vhp/0049/004960/sr0001.xml,2003,army,ok,data\vhp_transcripts\afc2001001_04960.xml
afc2001001_09752,James Day Merle Holmes Collection,https://tile.loc.gov/storage-services/service/vhp/0097/009752/sr0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_09752.xml
afc2001001_20699,Edward F. Brandtner Collection,https://tile.loc.gov/storage-services/service/vhp/0206/020699/sr0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_20699.xml
afc2001001_20414,Arnold R. Green Collection,https://tile.loc.gov/storage-services/service/vhp/0204/020414/sr0001.xml,2004,navy,ok,data\vhp_transcripts\afc2001001_20414.xml
afc2001001_48895,Daniel David Ash Collection,https://tile.loc.gov/storage-services/service/vhp/0488/048895/mv0001.xml,2007,army,ok,data\vhp_transcripts\afc2001001_48895.xml
afc2001001_20413,Robert Joseph Auer Collection,https://tile.loc.gov/storage-services/service/vhp/0204/020413/sr0001.xml,2004,army,ok,data\vhp_transcripts\afc2001001_20413.xml
afc2001001_00149,William R. Willert Collection,https://tile.loc.gov/storage-services/service/vhp/0001/000149/sr0001.xml,2002,navy,ok,data\vhp_transcripts\afc2001001_00149.xml
afc2001001_53576,David C. Speicher Collection,https://tile.loc.gov/storage-services/service/vhp/0535/053576/mv0001.xml,2008,army,ok,data\vhp_transcripts\afc2001001_53576.xml
afc2001001_01507,John J. Medynski Collection,https://tile.loc.gov/storage-services/service/vhp/0015/001507/sr0001.xml,2002,navy,ok,data\vhp_transcripts\afc2001001_01507.xml
