,0
avg_word_len,9.34317069997985
repetition_rate,8.710105934295436
first_person_rate,7.875371033939728
subord_ratio,6.389482281074802
mattr,6.263880264326425
avg_sent_len,6.062964923749504
filler_rate,5.293214552162061
verb_ratio,5.260507673345431
cohort_rate,5.12661022730599
pronoun_types,4.978172426559176
flesch_reading_ease,4.716477695003812
fk_grade,4.435219049165561
adj_ratio,4.2149234718600495
noun_ratio,4.10283979714723
std_sent_len,3.7932655309488266
avg_dep_depth,3.5638747326766778
ttr,3.407324113639351
gunning_fog,3.368551711633719
total_words,3.0940438811863835
