,0
bert_pc6,7.872390305537241
bert_pc1,7.394430605210518
bert_pc2,6.487000704909328
bert_pc4,5.511350510491481
first_person_rate,5.460008248757817
mattr,5.283329426112994
avg_word_len,4.780675475056686
bert_pc10,4.440453235375494
repetition_rate,3.9815275995969386
ttr,3.9071859237355513
bert_pc7,3.8328188052034187
bert_pc5,3.407992245359527
total_words,3.108291485170293
filler_rate,2.8899559615562844
bert_pc9,2.6714512064058673
gunning_fog,2.55368223559329
subord_ratio,2.489300283753243
avg_dep_depth,2.4741128126510823
adj_ratio,2.4366848993990757
bert_pc3,2.37100754131174
flesch_reading_ease,2.3207526799772387
std_sent_len,2.2082035690811574
verb_ratio,2.204005456972973
noun_ratio,2.0881112430347284
pronoun_types,2.0190596675215473
avg_sent_len,1.8847221028310734
cohort_rate,1.7397291062508637
bert_pc8,1.2572200229520274
fk_grade,0.9245466401905504
