,0
vader_pos,0.1584872678018065
vader_compound,0.15769493732214607
adj_ratio,0.1345054288192441
filler_rate,0.13077330515182628
bert_pc3,0.10948602009758654
bert_pc6,0.07442255462261098
bert_pc9,0.06100499176615089
repetition_rate,0.05806611805508247
bert_pc5,0.05790551376557345
bert_pc7,0.04981705705925289
ttr,0.045449189801203896
bert_pc10,0.0337281843086623
first_person_rate,0.03317789354725051
bert_pc4,0.03210581626517956
mattr,0.026692036598450115
first_person_word_rate,0.020876061924132765
subord_ratio,0.01927930470145452
std_sent_len,0.00516485938436329
gunning_fog,-0.004209642099276986
fk_grade,-0.008993991906367434
flesch_reading_ease,-0.012105867004913118
avg_dep_depth,-0.012235660272587013
vader_neu,-0.019669591611189873
avg_word_len,-0.027825279288565218
avg_sent_len,-0.048118079150054914
bert_pc8,-0.04823786914859806
verb_ratio,-0.04877618261373202
noun_ratio,-0.08300424670795883
bert_pc1,-0.09994510274481593
pronoun_types,-0.1054551062138549
total_words,-0.10982249661910663
bert_pc2,-0.128814715790008
function_word_rate,-0.173265419059657
cohort_rate,-0.18548225169479382
vader_neg,-0.19218113858634048
